text,label
"treatment:
1) antibiotic therapy: cotrimazole, ciprofloxacin, cephalosporin, amoxycillin",0
 I see you were talking about Latuda a while ago. I just started doing it last week. Was your experience with it positive?,0
 Not everyone gains weight when they quit. Some medications that help you quit (zyban & nicotine lozenge) prevent weight gain. #quitsmoking,0
"I went to work, got 3 hours of sleep last night and forgot to take my vyvanse. #thisshouldbefun",0
RT  “The diagnosis of depression only became popular in Japan when Glaxo-Smithklein was approved to serve Paxil in the...,0
I can't listen to those American bints at the table next to me and talk about how Prozac no longer erases their “fear” of life,0
I'm going to the store to have some hypnotic drinks to wash off this seroquel;),0
Marketing idea: fluoxetine & docusate sodium. brand name “relaxant”,0
I have Vyvanse for everyone in summer summer school,0
Wooooo finally got levaquin!!! so pumped finally I get better #monthlongsickness,0
"My rheumatic doctor said I could take baclofen and norflex together (both are muscle relaxants). I took both, even though an hour apart, earlier...",0
My humira recordings must come NOW. #sosick,0
" it seems to be having an effect already. Took over Zoloft in 2000 and Effexor XR in 2006-2008, which was my special choice.",0
"Oops, thought I had a lot of Pristiq left, I realized that I actually only have 2 days left. Luckily, I can go to the pharmacy tomorrow!",0
Why is there a complete four-page medical guide for Xarelto tablets in my issue with the *TV* guide? There's something wrong here.,0
“ Bananas contain a natural chemical that can make a person happy - the same chemical found in Prozac.” It's a pity I hate bananas,0
" high five! Effexor and therapy have contributed to my functioning, productivity, and sometimes I'm not dead.",0
"“Thank you, Enbrel.” — Phil Mickelson, around 7pm yesterday",0
"Is it 630 already?!? Thanks to Effient, I'm ready for a free dinner and drinks 💊💊💊",0
I would appreciate it if I could only sleep 2 or 3 days at a time. Pop a Trazadone & be out 😴 #iwish,0
" and when I left Prozac, cycling started again. I would go from below to extremely manic and evil >>",0
":'( "" LOOL”  LAWL RT  Animals commit suicide. Depression hurts. Cymbalta can help. #TeenWolf “”",0
      esmolol to see if BP becomes tol then metoprolol,0
“Please stop asking me if Enbrel is right for you” — Dr. Dre,0
"  I'm going through the same thing, it's so hard, isn't it! Glad to hear about duloxetine.. I started a week ago!",0
 I'm sorry to hear this Rheum Sistah! Any news about Humira?,0
 It's unfortunately not considered a good idea to take valerian with venlafaxine (which I'm on).,0
" I won't just keep taking my cipro, which helps relieve some of the pain until I see a neurologist on the 25th.",0
You know some just took their vyvanse when they favored 10 or more Vyvanse swag tweets in one session.,0
" yikes, that's scary stuff. I've taken Enbrel b4, tried other things, and didn't find anything that works. Thx 4 Heads Up",0
RT  #PaulaDeen may have received $6 million for its endorsement from Victoza. Drug manufacturer suspends deal with Deen - http://t.co/...,0
" RT  Bananas contain a natural chemical that can make a person happy, the same chemical found in Prozac.",0
“ Bananas contain a natural chemical that can make a person happy - the same chemical found in Prozac.” ,0
"Depression hurts, Cymbalta help.",0
" It was me, actually. ACT TWIST!!! Write me back now, or I'll get into depression that even Cymbalta can't fix",0
" Enbrel is a biologic, a medicine used to treat RA. It reduces the active tumor necrosis factor (TNF), the > inflammation.",0
"It's still itchy everywhere, but no rash, so it's more Lamictal.",0
"Rivaroxaban 2/2 low back pain. Not very PC, but I'm crippled by this drug. Take more paracetamols. Must ring for a telephone consultation.",1
 we need Starbucks patches like nicotine lol,0
 quetiapine. Very low dose even with increase. Helps me fall asleep (and eat in general) but feel really groggy in the morning,1
Thank you... *takes the pastille*,0
  Don't give them Prozac!,0
 You need seroquel. I have some if you want;),0
"I DON'T EVEN FEEL IT YET, JUST BARELY TOOK IT.. ALREADY EATEN A BIT AND DRANK A CALCIUM-ENRICHED SMOOTHIE LOLOL #vyvanse",0
"   no appearance in Liverpool? Okay, and, um, how do we get from city to city? (I'm looking for flights right now)",0
I wish I could be tired. Shouldn't have taken the Vyvanse. I never sleep now.,1
  Cipro is really bad for your whole body! Take it away from me (with disability since '09 thanks to only 12 pills).,1
Depression hurts cymbalta help,0
  Is that an ad for Paxil?,0
I am now off work for two weeks due to a drastic change in medication that removes Pristiq's cold turkey. Do. Don't. Do you want to.,0
Depression hurts. Cymbalta can help.,0
Does anyone have a diamond? *Came voice*,0
 only on 40 mg of fluoxetine per day omfg,0
I would rather be on the effexor which made me happy even though I had severe back pain.. As sad and crying for no reason on Lexapro...,1
You know the commercial. DEPRESSION HURTS CYMBALTA CAN HELP. Your lies.. 😐😒,0
"Friends in the medical profession, I only wanted 2B absolutely sure. If you can help me, is ciprofloxacin an antibiotic for UTI ryt?",0
This Cymbalta commercial on television lmaooo like everything they advertise is the side effects and people still don't care *sigh*,0
“ Bananas contain a natural chemical that can make a person happy - the same chemical found in Prozac. ”,0
"My motto
Depression hurts 
Cymbalta works

Love fades
Advil is here: D",0
Question Time #crohns #ibd #humira does anyone suffer from egg shaking? What works for you,1
My Vyvanse is entering. I can feel it.,0
  has ever heard of NMS with venlafaxine,0
Did someone take Effexor? And do you drink on it?,0
"If I stopped guessing and doubting, I'd find that I know this stuff. #ptcb #studying #beautifuloutside #adderall #vyvanse",0
" I love you so much, I heard you were BORDERLINE like me... #SEROQUEL",0
Humira can reduce the risk of fighting infections,0
Phil Mickelson is looking pretty good today. He needs to shoot his next Enbrel commercial. #usopen #arthritis,0
" I think the whole thing is out of control. Thanks to you, I'm on Victoza and I'm fine.",0
 And how does it help? If you are a nicotine addict (sp?),0
 yes he said lamotrigine (lamitcal) or keprap:,0
"RT  Bananas contain a natural chemical that can make a person happy, the same chemical found in Prozac.",0
 ask your doctor if you would like to take Lamictal for your seizures! It definitely helped my mother. It's just a suggestion.,0
19.32 days 20 rivaroxaban diary. Still residual pain; only had 4 paracetamol today.,1
"Half a trazodone made me sleep hard this morning...
",0
I'm about to put some of my seroquel in her drink. She's being knocked,0
“ *Batman voice* do you have a diamond”  You'll miss me,0
Dr. Matthew Birnholz from  is interviewing top diabetes experts at the INVOKANA booth today. Watch the interviews from 10 a.m. #2013ADA,0
" I haven't tried Plaquenil since college. Plus, it was before biologics came out. This inspires me to rethink it with Enbrel. #rheum",0
Dear sir. Bieber madness is hitting the city tomorrow. Bring up the paxil.,0
if someone wants vyvanse hmu,0
The IPAB is asking the General Controller for Patents to reconsider the Pradaxa patent application. Says the product is not new or inventive #India #patents,0
 What is DHE - is that another term for Humira? Wow. I'm glad that helped your migraine!,0
 is fine. Stop Humira 6 weeks ago. Patiently drive dr. So much better off. The best thing in years! Be healthy.,0
why don't I remember going to bed or waking up (the answer: probably Seroquel),1
Hot topic on #obesity pharmacotherapy in #endo2013 and #clinical studies with naltrexone bupropion and #liraglutide in progress ,0
the CYMBALTA commercial is so depressing,0
"Can six hours be called naps? Thank you, Enbrel. Um... at least I was asleep? LOL! Oh, well. That's why I'm taking off on Mondays. Writing tomorrow.",0
Depression real. Cymbalta helps... Lol!,0
who has the VyVanse connection does it need 4 2Moro,0
Not ready to quit the habit? Try nicotine lozenges. They help users reduce the cut even if they thought they didn't want to cancel.,0
Bananas contain a natural chemical that can make a person happy. The same chemical is also found in Prozac.,0
"RT  TIP: My 5-piece health package for distant countries: cipro (gut), zpak (chest), pepto (stomach), purell (germs), advil (hangover...",0
I wash Vyvanse with caffeine every day... but then I can strike five hours of energy.. and you can't..,0
" hey, I'll take Cymbalta too. We can be Pill Pals!",0
" yes definitely ask the doctors next time, but Cipro is a super drug :-)",0
"Ciprofloxacin and levofloxacin are most commonly used in children B/C Based on previous experience, these drugs appear to be well tolerated.",0
:'D RT  I'm the throat that Gwede Mantashe rejected.,0
"RT  The day after, Humira was a great day, full of energy and low pain. After a month, it's now a fatigue-filled day. #rh...",1
um taking my Cymbalta for the first time in months and literally feeling my brain exploding lol great sign!!!,0
" took a vyvanse, feel good now ha",0
"The day was immediate. Missed an optician and slept for a day. I'm sitting here with torn face, greasy hair and unwashed. Swollen feet thx to olanzapine.",1
"I agree with  She's faking it. They know it, but they're basically 51/50 of her.  I'm sure the “medicine” is Zyprexa",0
To Vyvanse so you know I'm okay,0
"TIP: My 5-part health package for distant countries: cipro (gut), zpak (breast), pepto (stomach), purell (germs), advil (hangover). #TravelSkills",0
  olanzapine is added to policy at  - awaiting approval from drug management (i.e. not included here),0
No tobacco day OR no nicotine day?,0
"Made a shot of Enbrel, but chose the infusion rather than self-injection. I don't know what he's up to. I hope to be successful. #rheum",0
"  are the most common types of bacteria that cause sinusitis. So if there is no improvement, Avelox or Levaquin will need.:)",0
" but none of them are registered with CIPRO, it can be found online except for your “Who's Who” entry? ",0
" Yes, I remember some customers had botox for cramps, but usually baclofen or something.",0
"Well, lamotrigine is sorted. Although my family doctor does not raise my citalopram until I get permission from the pysch: c",0
RT   Internet Lozenge registered trademark Garrett Sand 2011,0
Finish Cipro on Saturday so the law means it will rain again on Sunday!,0
"Trimethoprim sulfamethoxazole, cipro or macrobide?    she was full-time and otherwise healthy",0
Mom said it's okay to take a few shots when I'm sad when I stop taking PROZAC!,0
Limu Lean mixed with a BluFrog mixed with a Vyvanse really makes me feel like I can run a marathon.,0
"Walk down the street for 2 blocks, and there's the top of Vatican City... #Cipro http://t.co/xGUjL2nTTH",0
" Sorry you can't do camp this year, it sucking! I hope your drugs are squared & Lamictal works 4 & I'll be right here",0
" yes, Humira pens are large and quite clunky. They work well, but it's a bit of a jab for sure. I prefer syringes.",0
"I don't understand why people want hookuh pens, like when you get addicted to the nicotine I'll laugh",0
 Time for quetiapine!,0
#undermybed huge supply of seroquel “samples”,0
"David Wall's diamond is first on Northern Wish Radio with Gordie Johnson, Ken Whiteley, Al Cross, Gene Hardy, Kate Fenner and Whiteman",0
Mirtazapine and olanzapine OD may cause drowsiness and small pupils. No reaction to naloxone #SAMCoventry,0
 Losing 150 mg of seroquel from someone and mixing them with olanzapine in 2 weeks results in psychosis — a proper assessment has not been made.,1
  which college kid isn't on it or Vyvanse,0
Rivaroxaban diary 2/2.. but not hungry. It must be taken with food. Only had 1 hot drink and 1 slice of bread today,0
"7:58 day 17 rivaroxaban diary. I think it'll take 48 hours for Rvrxbn to come out of my body. If I can't reach the GP today, it can stop.",0
A horse walks into a bar and asks for a throat rue.,0
Sheet metal!! I think I just belched a little Prozac!,0
 trazodone is sometimes prescribed to sleep:),0
"Good night everyone, Queen #quetiapine is in her residence and she doesn't take no for an answer!",0
My cat won't stop screaming the “castamere rains”. She desperately needs Prozac  Can you even track my money quickly??? #DepressedCat,0
" Even weirder: I haven't taken Paxil in 14 years, but I still feel that way NOW.",0
"  As long as they're low-key and had a relaxing-psych cocktail (haldol/geodon blender, etc.), you should be fine",0
" I can't take trazodone anymore because I'm awake with the baby every few hours. At the moment, I am mainly concerned with my stress level",0
 I live with it daily... I take Paxil,0
"I forgot to take my iron supplements, folate supplements, and fluoxetine. :( and I just realized.",0
Even Cymbalta can't help.,0
I started Vyvanse today and made 4 pages of notes in the front and back during the first lesson 😳 #gettinshitdone,0
"Whenever I tell my mother that a boy is mean to me, she always says, “Is he on Prozac? That's him, isn't it? “What do you say to mom?",0
" on prescription, I have zoplicone, nice and gentle but work. I have Zometa to keep bones strong and control tumors.",0
"this program annoys me now, they just didn't properly prescribe the Victoza",0
"T.O just took one of my Vyvanse, game over",0
RT  Comparison of 4 antipsychotics in patients over 40 with psychiatric disorders Quetiapine least safe http://t.co/5rOuJwR3B...,0
Will science ever isolate the component of nicotine that turns a person into a polluting diphit?,0
This seroquel got me ONNNNNNN`Smh I'm out of here.,0
RT  VENLAFAXINE MORE LIKE FEWER VOICES IN YOUR HEAD AZINE AM I RIGHT GUYS?,0
" Conte's Twitter said testosterone is taken via lozenges (lozenges), said you can burst them like lifesavers",0
Does anyone have Adderall or Vyvanse they want to give me?,0
"The sultry, smug, stupid voice of JOE BUCK. Would you like a laryngeal rhombus? #BaseballNightinAmerica #Redsox #Angels",0
Wow. Just wow. I hope Cipro works for him. Sometimes it's a beast of a drug. ,0
I'm surprisingly cheeky to say that I'm three days off my Prozac.,0
"The original dish was designed in an hourglass design, with straight sides and a diamond-shaped service area within the court marked with ribbons.",0
"RT   #FDA has approved #paroxetine, an SSRI, to treat moderate to severe hot flashes associated with #menopau...",0
"I'm a sedative for horses, all of you just Paxil",0
 no fluoxetine! Sometimes it's okay since they're all the same manufacturer inside but no.. Everything's different! I also hate split packs.,0
"RT  I have a contact ko CIPC (formerly known as Cipro), dm me.",0
I'm useless af without vyvanse #im #inappropriate,0
Tea and nicotine is a great combination,0
Vyvanse is my best friend,0
  #Zimmerman was removed from Vyvanse due to mood swings before he was placed on Adderall See Med report: http://t.co/g5dXRJKPr5,0
 vyvanse bored lol,0
"Dear nicotine, I miss you! but it had to end for 20 years you where my friend A lyrical tweet must be, because dear nicotine is not my fate",0
RT   “I won't be there... if you really need me.” Lozenge of Love - one of my favorite #Radiohead songs.,0
" Zyprexa and Risperdal work best with my exp, ability is junk and geodon marginal, but qt prol is problem & metab sx",0
  I used it with Enbrel and I'm now in remission. Now my mission is to help others the best I can.,0
" Depression hurts, cymbalta can help",0
RT  17 of the 20 best Medicare prescribers for beta-blocker Bystolic received speaking fees from the manufacturer Forest Labs http://t.c...,0
two effexors a day.,0
"2.5 h for 100 mg dph, 2 h for 200 mg quetiapine (and other drugs), no restless legs and barely noticeable somnolence",0
"  In my humble opinion, the only reason for prescribing olanzapine is sedation.",0
RT  #FDA Communication on drug safety: The FDA is investigating two deaths after injecting #Zyprexa Relprevv http://t.co/xR...,0
" oxcarbazepine, lamotrigine, and midazolam to control the different types, atonic, tonic clonic (rare), focal, and aura types :(",0
RT ' #MOH #Shisha provides the addictive substance nicotine and is at least as toxic as cigarette smoke #WorldNoTobaccoDay,0
"RT  In the FirstWord Newsletter: EMA Clinical Data Release Policy, Novartis targets Biosimilar Enbrel and more http://t.co/1ezp9...",0
I hope I wake up with a nice little Prozac surprise,0
Someone's bringing Mike Emerick a diamond. I don't want to hear his voice crack all night,0
The learning marathon is over people. Dreaming about drugs all night #diuretics #benzodiazepines #digoxin #metoprolol,0
" I can't even imagine! I'll start #Humira soon, should be interesting.",0
 lamictal and trileptal and seroquel... of course the seroquel I take in severe situations because weight gain is never cool,1
Vyvanse revelations >>>>,0
"1 power point, 2 short stories, half a small book and an epic poem = #longnight and #vyvanse",0
I can't take antibiotics until tomorrow because I had my humira today.,0
" Sorry Fab, can I offer some fluoxetine (Prozac) if that's any help?",0
"  I'll try cimzia next in a couple of weeks. If that fails, Tysabri is all they know to try. My risk of..",0
" because UCD said I had HD for 8 years, then said high-dose zyprexa caused a wrong diagnosis. I think I have",1
RT  17 of the top 20 prescribers of the blood pressure drug Bystolic have received speaking fees from its manufacturer. http://t.co/cW...,0
Why am I still awake so late? The days go by much calmer with some good sleep... well #klonopin and trazodon with a #doobie could help,0
Can my #humira finally continue this evening. Thank goodness for that. I've never been more excited for a needle before. Must mean it's working. #crohns,0
"Hello world! Quetiapine zombie this morning, and I have a working visit in about 45 minutes. The perfect combination.",1
" Robax has stopped working for me. I had to take prescription drugs, baclofen.",0
" Bipolar, major depression. He also takes quetiapine because he sometimes sees and hears things.",0
"“Paracetamol, lanzoprazole, levofloxacin, vit” my dessert after breakfast in the morning...",0
 I had to get my rerun of fluoxetine or I wouldn't have gone out today.,0
"Oh, seroquel, I stopped taking too.",0
Has anyone looked at the cost of 6 months of VTE Rx with apixaban vs LMW heparin plus warfarin? LMW heparin is not cheap!,0
Vyvanse runs after work... Yup 👍,0
 I'm taking fluoxetine. Hm :( hope you are feeling better soon!! Do you have a pretty stressful job? X,0
"I ate some seroquels, will catch you tomorrow night #fml",0
"RT  SAVOR study fails to reach primary endpoint to show superiority of #AstraZeneca, Bristol DPP-4 diabetes drug #Onglyza ht...",0
RT   I'm so in it now I need Cymbalta,0
 has it reduced your seizures!? I get Keppra and Vimpat in full doses of both and still have 3-7 seizures a week.,0
Nicotine & faded dreams,0
 How's your Crohn's doing? I'm back on Remicade and Pentasa after I failed with Humira and Cimzia,0
Somebody bring me a diamond!,0
I need some trazodone and a good night's sleep. I'll see you guys. I really hope to wake up with the storyline. *grinst*,0
Advertisement about the drug Prolia - “Do not take Prolia if you are allergic to Prolia” Duh...,0
"Actually, it was more like a prison, but with nurses instead of guards, olanzapine pill n IM = #zombies",1
FDA-approved denosumab (Xgeva) for subcutaneous use for the treatment of adults and skeletal mature adolescents,0
Iwwwwww RT “ At home with Humira”,0
Surprising mom with a clean house when she comes home from work because Vyvanse!,0
Sometimes I wish I still nicotine lozenges I could put one mouth bed crazy dreams #likerightnow,0
 My husband takes lamotrigine and kepra twice a day.,0
“ Bananas contain a natural chemical that can make a person happy - the same chemical found in Prozac.” Get me some bananas! Lol,0
“ Bananas contain a natural chemical that can make a person happy - the same chemical found in Prozac. ”,0
"Somewhere between olanzapine and xanax, a cool breeze comes into the pharmacy.",0
I'm going back in 2 weeks and am determined to lose weight by then and prove her wrong. Should be easier with lamotrigine!,0
"“RT  Today, #MtSinai is going to find out how well the #sct worked for #bonemarrowbiopsy #MRI and #zometa! “Hope everything goes well! :)",0
 lamotrigine was added to the regime yesterday x,0
"Cipro is my friend this week, in bed with kidney infection  What was in this pho?",0
"Bananas contain a natural chemical that can make a person happy — the same chemical found in Prozac.” #Did, you know #",0
" I see paroxetine rarely used now, but venlafaxine is fairly common.",0
 is my favorite book in the world with my 2 life-saving pills Prozac and birth control. Thanks  http://t.co/d62K3Mgehp,0
 I recently stopped taking Effexor 225. What can I do to make my withdrawals easier? I'm feeling miserable and very angry right now. Any ideas please,1
Need to know: Do you know what R drugs are for bipolar depression? Lamotrigine AKA #Lamictal currently approved by #FDA,0
" Or quetiapine, as my psychiatrist calls it. It's one of the things I'm on",0
Do you know what Meds R 4 bipolar depression? Currently #FDA approved combo of #olanzapine & #fluoxetine,0
What needs to be done? I'm not looking forward to the withdrawal of cold turkeys from Pristiq... feeling of impending doom. Fear only worsens the situation.,1
" yes, it's organic. Like Humira and Cimzia. Remicade hasn't done much. Cimzia is next.. Seeing well",0
 cut out because I did humira last night:),0
"Rivaroxaban diary ctd, neck and sore throat, low back pain and knee pain.",1
The nicotine in chewing tobacco is a deadly poison and kills your taste buds.,0
AND SHE SAYS “WHY? “ERR BECAUSE THEY CONTAIN A LIQUID CALLED NICOTINE.,0
  None of you seem to be aware that Cipro can cripple otherwise healthy people... doesn't the doctor say that?,1
 Cipro is just as bad! Stay away from fluoroquinolones whenever possible. You're having trouble waiting for it to happen.,0
RT  *Batman voice* do you have a diamond,0
RT  Trajenta® (linagliptin): new data on safety and efficacy in type 2 diabetes patients with impaired renal function http://t.co...,0
"If you or a loved one has experienced adverse “side effects” from using Pradaxa, call 1,888,520,5202. Habla espanol.",0
"As a former heat flash researcher, I am concerned about a lack of transparency about rejecting FDA panel advice and approving paroxetine.",0
 yayyy Katy hope it works.. you can have one of my Humira stickers if you want. 50H and 50 Van stickers from Healthcare at Home,0
 The same goes for me Dolly #RA #Humira,0
 That's not good: /I really hope the fluoxetine works for you:),0
Pt from me died of Cipro RT   If only more doctors thought like you! I've lost 12 cipro pills my whole life,1
"I finally made it to the grocery store — all endowed with Seroquel, but I did it! #ShutinVictory",0
  you should do it sherv because Ghost Loads is doing Paxil,0
“ Twitter is high school for adults” when  starts to make sense I need more Paxil,0
Last week I was at SFF this time and now I'm in an office looking at another 4 hours of work and just accidentally swallowed a cough rump.,0
It's unusual to receive a seven-part text with mutilated ramblings from someone describing their titration of venlafaxine led to a breakup.,1
Who's listening: Never take effexor/venlafaxine. Paresthesia abound.,1
"I don't take no for an answer, the child spits nicotine, so get cancer",0
I wish I still had my seroquel!,0
" My father sang cat scratching fever almost every day, always to about 2500 mg of effexor. I'm happy to know you.",0
" I'm taking Cymbalta mainly out of fear my Dr. talked about adding wellbutrin, but I'm worried it'll make anxiety worse.",0
"That's the same for me, lamotrigine is brilliant for me.",0
RT  Just wondering where the side effect of hatred is stated on Vyvanse's advertisement?,1
"Trazodone, old buddy, why did you disappoint me? 😣",0
LOL. Trapper had problems! #smackoff #trapper #lozenge,0
 -high fives- fluoxetine jam.,0
Humira will make me late for class,0
"“Effects of repeated administration of mirtazapine, trazodone, or placebo on driving performance and cognitive function”...",0
 I mean whatever it is Cymbalta can help.,0
RT  Cipro poison Big Pharma knows,0
"RT  RT  Depression hurts, cymbalta help.",0
" it's not relevant. Seriously. Weight gain and fatigue should be better with lurasidone, but otherwise it's individual.",0
Trazodone party tonight at my home,0
RT  There are other drugs in development. Large randomized memantine trial on core symptoms in progress. #autismchat,0
I can't get enough of the playback! #lozenge,0
   I'm the same way. I'll find the nearest pharmacist and bring in plenty of ciprofloxacin as soon as we land.,0
